NCBI Gene ID	Ensembl gene ID
338579	ENSG00000230501
256006	ENSG00000145700
341405	ENSG00000167612
651746	ENSG00000164236
	ENSG00000250106
	
100419920	ENSG00000229689
100129384	ENSG00000254728
100507606	ENSG00000288434
100652976	
100287028	ENSG00000255111
100507561	ENSG00000254547
100420024	ENSG00000255162
100420021	ENSG00000254558
100420025	ENSG00000255305
100420022	ENSG00000254916
284615	ENSG00000272031
340120	ENSG00000189127
390616	ENSG00000235711
729911	ENSG00000259234
148741	ENSG00000198483
375248	ENSG00000135976
57730	ENSG00000196912
84832	ENSG00000214262
645784	ENSG00000230006
400986	ENSG00000174501
100132420	ENSG00000188399
	ENSG00000271362
353322	ENSG00000186352
51239	ENSG00000213337
100124373	ENSG00000218986
91369	ENSG00000154945
55018	ENSG00000167117
338699	ENSG00000137494
100506282	ENSG00000247137
91526	ENSG00000065413
101927596	ENSG00000231621
105373824	ENSG00000225979
101927547	ENSG00000236977
339416	ENSG00000183831
157567	ENSG00000186106
54851	ENSG00000168876
100419814	ENSG00000228446
	ENSG00000225349
391834	ENSG00000248616
100130680	ENSG00000214684
57182	ENSG00000151458
283373	ENSG00000139645
79998	ENSG00000144031
129138	ENSG00000100124
100419962	ENSG00000236442
79722	ENSG00000164512
