gene_symbol,ensembl_gene_id,is_oncogene,is_tumor_suppressor,is_cosmic_tier_1
KLHL6,ENSG00000172578,True,True,False
KMT2B,ENSG00000272333,False,True,False
KMT5A,ENSG00000183955,False,False,False
KNSTRN,ENSG00000128944,False,False,False
LCK,ENSG00000182866,True,False,True
LEF1,ENSG00000138795,True,False,True
LMO2,ENSG00000135363,True,False,True
LRP1B,ENSG00000168702,False,True,True
LZTR1,ENSG00000099949,False,True,True
MAFB,ENSG00000204103,True,False,True
MAPK3,ENSG00000102882,True,False,False
MAPKAP1,ENSG00000119487,False,False,False
MDC1,ENSG00000137337,False,False,False
MECOM,ENSG00000085276,True,False,True
MGA,ENSG00000174197,False,True,False
MLLT10,ENSG00000078403,True,False,True
MLLT3,ENSG00000171843,True,False,True
MN1,ENSG00000169184,True,False,True
MSI1,ENSG00000135097,True,False,False
MST1,ENSG00000173531,False,True,False
MTAP,ENSG00000099810,False,True,False
MYH11,ENSG00000133392,False,True,True
NCOA3,ENSG00000124151,True,False,False
NCSTN,ENSG00000162736,True,False,False
NEGR1,ENSG00000172260,False,False,False
NKX3-1,ENSG00000167034,False,True,False
NOTCH4,ENSG00000204301,True,True,False
NR4A3,ENSG00000119508,True,False,True
NTHL1,ENSG00000065057,False,True,False
NUF2,ENSG00000143228,True,False,False
NUP214,ENSG00000126883,True,False,True
NUP98,ENSG00000110713,True,False,True
NUTM1,ENSG00000184507,False,False,True
PAK1,ENSG00000149269,True,False,False
PAK5,ENSG00000101349,True,False,False
PAX3,ENSG00000135903,True,False,True
PAX7,ENSG00000009709,True,False,True
PCBP1,ENSG00000169564,False,False,False
PDGFB,ENSG00000100311,True,False,True
PDK1,ENSG00000152256,True,False,False
PDPK1,ENSG00000140992,False,False,False
PGR,ENSG00000082175,True,False,False
PIK3C3,ENSG00000078142,False,False,False
PIK3CD,ENSG00000171608,True,False,False
PIK3R3,ENSG00000117461,False,True,False
PLCG1,ENSG00000124181,True,False,True
PLK2,ENSG00000145632,False,False,False
PMAIP1,ENSG00000141682,False,True,False
PML,ENSG00000140464,False,True,True
PMS1,ENSG00000064933,False,True,False
PNRC1,ENSG00000146278,False,False,False
PPP4R2,ENSG00000163605,False,False,False
PRDM14,ENSG00000147596,False,False,False
PRKD1,ENSG00000184304,False,False,False
PTP4A1,ENSG00000112245,False,False,False
PTPN2,ENSG00000175354,False,True,False
PTPRD,ENSG00000153707,False,True,False
PTPRS,ENSG00000105426,False,True,False
QKI,ENSG00000112531,False,True,True
RAB35,ENSG00000111737,True,False,False
RAC2,ENSG00000128340,True,False,False
RASA1,ENSG00000145715,False,True,False
RBM15,ENSG00000162775,True,True,True
RECQL,ENSG00000004700,False,True,False
RHEB,ENSG00000106615,True,False,False
RIT1,ENSG00000143622,True,False,False
RPS6KA4,ENSG00000162302,True,False,False
RPS6KB2,ENSG00000175634,True,False,False
RRAGC,ENSG00000116954,True,False,False
RRAS,ENSG00000126458,True,False,False
RTEL1,ENSG00000258366,False,True,False
RXRA,ENSG00000186350,False,False,False
RYBP,ENSG00000163602,False,True,False
SESN1,ENSG00000080546,False,True,False
SESN2,ENSG00000130766,False,True,False
SESN3,ENSG00000149212,False,True,False
SET,ENSG00000119335,True,False,True
SETDB1,ENSG00000143379,True,True,False
